player,nation_x,pos_x,squad_x,born_x,mp,starts,min,gls_x,ast_x,pk_x,pkatt,crdy,crdr,gls_per_90,ast_per_90,g_plus_a_per_90,g_minus_pk_per_90,year,90s_x,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_vs_dribbles,att_vs_dribbles,tkl_perc_vs_dribbles,past_vs_dribbles,press,succ,percent,def_3rd_pressures,mid_3rd_pressures,att_3rd_pressures,blocks,sh_blocks,shsv_blocks,pass_blocks,int,tkl_and_int,clr,err,cmp_total,att_total,cmp_perc_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_perc_short,cmp_medium,att_medium,cmp_perc_medium,cmp_long,att_long,cmp_perc_long,ast_y,ppa,crs_pa,prog,sh,sot,sot_perc,sh_per_90,sot_per_90,g_per_Sh,g_per_sot,dist,fk,pk_y,pk_att,league
Thiago Motta,it ITA,MF,Paris S-G,1982,19,14,1155,1,1,0,0,3,1,0.08,0.08,0.16,0.08,2017,12.8,22,14,10,11,1,5,22,22.7,17,121,29,24,35,57,29,14,4,0,10,15,37,19,0,1215,1302,93.3,21737,6760,508,536,94.8,555,576,96.4,131,155,84.5,1,5,0,115,6,3,50,0.47,0.23,0.17,0.33,17.1,0,0,0,French
Thiago Silva,br BRA,DF,Paris S-G,1984,25,24,2115,1,1,0,0,5,0,0.04,0.04,0.09,0.04,2017,23.5,30,21,21,9,0,11,19,57.9,8,154,64,41.6,88,60,6,40,21,3,19,22,52,78,1,1583,1676,94.5,31702,11617,535,562,95.2,785,809,97,239,274,87.2,1,8,0,86,12,6,50,0.51,0.26,0.08,0.17,17,0,0,0,French
Thomas Meunier,be BEL,DF,Paris S-G,1991,24,16,1577,4,3,0,0,3,0,0.23,0.17,0.4,0.23,2017,17.5,36,24,23,8,5,15,36,41.7,21,196,68,34.7,105,56,35,30,3,0,27,14,50,31,1,907,1116,81.3,14727,5094,467,527,88.6,354,434,81.6,67,109,61.5,3,27,15,93,11,5,45.5,0.63,0.29,0.36,0.8,15.1,0,0,0,French
Yuri Berchiche,es ESP,DF,Paris S-G,1990,22,19,1715,2,3,0,0,4,0,0.1,0.16,0.26,0.1,2017,19.1,34,20,19,9,6,15,33,45.5,18,268,103,38.4,125,87,56,38,3,0,35,18,52,25,0,969,1129,85.8,14950,5264,512,563,90.9,380,439,86.6,53,71,74.6,3,19,8,83,11,3,27.3,0.58,0.16,0.18,0.67,22.2,0,0,0,French
Adrien Rabiot,fr FRA,MF,Paris S-G,1995,14,12,1063,2,1,0,0,3,0,0.17,0.08,0.25,0.17,2018,11.8,35,23,15,17,3,9,21,42.9,12,203,76,37.4,65,103,35,16,3,0,13,9,44,17,1,969,1048,92.5,17353,4370,429,459,93.5,429,453,94.7,101,118,85.6,1,12,0,87,7,3,42.9,0.59,0.25,0.29,0.67,15.7,0,0,0,French
Antoine Bernede,fr FRA,MF,Paris S-G,1999,2,2,169,0,0,0,0,0,0,0,0,0,0,2018,1.9,14,6,4,9,1,7,17,41.2,10,54,15,27.8,11,36,7,4,1,0,3,3,17,2,1,158,166,95.2,2709,828,62,64,96.9,89,92,96.7,6,9,66.7,0,1,0,18,1,1,100,0.53,0.53,0,0,23.7,0,0,0,French
Christopher Nkunku,fr FRA,"MF,FW",Paris S-G,1997,22,13,1156,3,2,0,0,0,0,0.23,0.16,0.39,0.23,2018,12.8,16,11,6,7,3,4,17,23.5,13,305,85,27.9,58,152,95,17,2,0,15,11,27,9,0,581,650,89.4,8846,1845,334,361,92.5,211,231,91.3,29,40,72.5,2,19,2,52,22,5,22.7,1.71,0.39,0.14,0.6,20,0,0,0,French
Colin Dagba,fr FRA,DF,Paris S-G,1998,17,9,918,0,2,0,0,2,0,0,0.2,0.2,0,2018,10.2,21,11,8,9,4,10,21,47.6,11,208,47,22.6,67,98,43,11,0,0,11,4,25,15,0,596,647,92.1,9022,2341,322,347,92.8,247,260,95,17,24,70.8,2,7,6,25,3,1,33.3,0.29,0.1,0,0,22.7,0,0,0,French
Dani Alves,br BRA,"MF,DF",Paris S-G,1983,23,19,1622,1,7,0,0,4,0,0.06,0.39,0.44,0.06,2018,18,43,29,17,22,4,13,41,31.7,28,472,128,27.1,118,256,98,26,4,0,22,9,52,10,1,1327,1589,83.5,21324,7177,725,784,92.5,466,544,85.7,106,187,56.7,7,50,12,165,27,6,22.2,1.5,0.33,0.04,0.17,21.6,2,0,0,French
Edinson Cavani,uy URU,FW,Paris S-G,1987,21,20,1671,18,5,4,5,1,0,0.97,0.27,1.24,0.75,2018,18.6,9,7,1,3,5,2,16,12.5,14,317,71,22.4,23,129,165,20,8,0,12,9,18,15,0,276,364,75.8,4114,519,168,208,80.8,86,114,75.4,17,24,70.8,5,9,3,8,46,17,37,2.48,0.92,0.3,0.82,12,2,4,5,French
