player,nation,pos,squad,born,90s,cmp_total,att_total,cmp_perc_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_perc_short,cmp_medium,att_medium,cmp_perc_medium,cmp_long,att_long,cmp_perc_long,ast,ppa,crs_pa,prog,year,league 
Baptiste Santamaria,fr FRA,MF,Freiburg,1995,4.7,180,223,80.7,3657,757,60,71,84.5,91,106,85.8,26,40,65,0,2,0,20,2020,Germany
Josh Sargent,us USA,"FW,MF",Werder Bremen,2000,6.8,83,132,62.9,1310,290,46,64,71.9,26,41,63.4,8,14,57.1,1,3,1,7,2020,Germany
Bouna Sarr,gn GUI,DF,Bayern Munich,1992,2,143,158,90.5,2493,713,72,78,92.3,62,67,92.5,9,13,69.2,1,2,1,16,2020,Germany
Patrik Schick,cz CZE,FW,Leverkusen,1996,1.5,36,44,81.8,482,127,19,24,79.2,12,14,85.7,1,1,100,0,0,0,1,2020,Germany
Sven Schipplock,de GER,"FW,MF",Arminia,1988,1.6,19,37,51.4,239,75,13,20,65,6,12,50,0,2,0,0,0,0,2,2020,Germany
Xaver Schlager,at AUT,MF,Wolfsburg,1997,4.2,122,161,75.8,2489,591,39,57,68.4,59,66,89.4,20,32,62.5,0,6,0,14,2020,Germany
Keven Schlotterbeck,de GER,DF,Freiburg,1997,0.4,23,24,95.8,499,113,6,6,100,10,11,90.9,5,5,100,0,0,0,0,2020,Germany
Nico Schlotterbeck,de GER,DF,Union Berlin,1999,2,100,122,82,2148,701,36,40,90,47,52,90.4,17,28,60.7,0,0,0,8,2020,Germany
Jonathan Schmid,fr FRA,"DF,MF",Freiburg,1990,5.8,219,273,80.2,4428,1828,75,89,84.3,108,126,85.7,32,48,66.7,0,6,3,30,2020,Germany
Benno Schmitz,de GER,DF,Köln,1994,0.1,3,6,50,100,80,1,3,33.3,0,1,0,2,2,100,0,0,0,1,2020,Germany
Alessandro Schöpf,at AUT,"DF,MF",Schalke 04,1994,1.9,60,63,95.2,905,193,35,37,94.6,20,21,95.2,3,3,100,0,0,0,4,2020,Germany
Nico Schulz,de GER,DF,Dortmund,1993,0.1,3,5,60,49,13,1,1,100,2,3,66.7,0,1,0,0,0,0,1,2020,Germany
Alexander Schwolow,de GER,GK,Hertha BSC,1992,6,178,239,74.5,5680,3114,24,25,96,77,78,98.7,77,136,56.6,0,0,0,0,2020,Germany
Davie Selke,de GER,FW,Werder Bremen,1995,1.5,24,39,61.5,340,83,13,18,72.2,7,13,53.8,2,2,100,0,2,0,4,2020,Germany
Suat Serdar,de GER,MF,Schalke 04,1997,0.6,7,10,70,124,11,3,4,75,4,4,100,0,2,0,0,0,0,0,2020,Germany
Ryan Sessegnon,eng ENG,DF,Hoffenheim,2000,1.2,54,64,84.4,816,260,30,31,96.8,19,24,79.2,3,5,60,0,0,0,5,2020,Germany
Nils Seufert,de GER,MF,Arminia,1997,0.5,24,25,96,373,112,13,14,92.9,9,9,100,1,1,100,0,0,0,3,2020,Germany
André Silva,pt POR,FW,Eint Frankfurt,1995,5.7,121,154,78.6,1768,373,69,78,88.5,39,49,79.6,5,10,50,1,2,0,11,2020,Germany
Jóan Símun Edmundsson,fo FRO,"MF,FW",Arminia,1991,0.6,11,15,73.3,209,43,6,7,85.7,3,5,60,2,3,66.7,0,0,0,1,2020,Germany
Daley Sinkgraven,nl NED,DF,Leverkusen,1995,5.1,301,378,79.6,6138,1610,103,121,85.1,143,161,88.8,54,83,65.1,0,2,0,16,2020,Germany
Ellyes Skhiri,tn TUN,MF,Köln,1995,5.5,233,270,86.3,4606,1280,95,106,89.6,89,97,91.8,45,58,77.6,0,5,0,25,2020,Germany
Robert Skov,dk DEN,DF,Hoffenheim,1996,3.4,115,172,66.9,2337,725,52,65,80,44,59,74.6,19,42,45.2,0,5,3,13,2020,Germany
Steven Skrzybski,de GER,FW,Schalke 04,1992,1.1,10,18,55.6,120,28,8,11,72.7,2,3,66.7,0,1,0,0,0,0,0,2020,Germany
Yann Sommer,ch SUI,GK,M'Gladbach,1988,6,204,248,82.3,5196,2302,47,47,100,94,95,98.9,61,104,58.7,0,0,0,0,2020,Germany
Borna Sosa,hr CRO,DF,Stuttgart,1998,2.4,82,120,68.3,1438,497,36,44,81.8,38,59,64.4,7,13,53.8,0,3,2,8,2020,Germany
Cebio Soukou,bj BEN,"FW,MF",Arminia,1992,2.8,48,56,85.7,676,72,28,30,93.3,14,17,82.4,3,4,75,0,0,0,2,2020,Germany
Djibril Sow,ch SUI,MF,Eint Frankfurt,1997,0.2,15,15,100,237,36,9,9,100,5,5,100,1,1,100,0,0,0,0,2020,Germany
Jerry St. Juste,nl NED,DF,Mainz 05,1996,6,255,294,86.7,5376,1738,76,86,88.4,128,140,91.4,49,63,77.8,0,3,0,24,2020,Germany
Benjamin Stambouli,fr FRA,DF,Schalke 04,1990,2.5,92,129,71.3,1912,745,31,35,88.6,48,57,84.2,12,31,38.7,0,0,0,1,2020,Germany
Niklas Stark,de GER,"MF,DF",Hertha BSC,1995,5.9,192,233,82.4,4421,1247,48,59,81.4,99,113,87.6,44,58,75.9,0,3,0,20,2020,Germany
Renato Steffen,ch SUI,"FW,DF",Wolfsburg,1991,3.5,101,139,72.7,1763,456,53,64,82.8,33,44,75,12,18,66.7,0,3,1,12,2020,Germany
Pascal Stenzel,de GER,DF,Stuttgart,1996,4,259,310,83.5,5968,2335,63,70,90,137,152,90.1,57,82,69.5,0,1,1,14,2020,Germany
Lars Stindl,de GER,"MF,FW",M'Gladbach,1988,3.9,162,189,85.7,2909,625,76,83,91.6,64,78,82.1,20,23,87,0,2,1,15,2020,Germany
Kevin Stöger,at AUT,MF,Mainz 05,1993,0.1,7,10,70,116,56,4,4,100,2,3,66.7,1,3,33.3,0,0,0,0,2020,Germany
Tobias Strobl,de GER,MF,Augsburg,1990,2,74,83,89.2,1472,326,29,29,100,33,37,89.2,12,16,75,0,0,0,6,2020,Germany
Marek Such_,cz CZE,MF,Augsburg,1988,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,,2020,Germany
Niklas Süle,de GER,DF,Bayern Munich,1995,3,264,282,93.6,6322,2109,49,51,96.1,153,160,95.6,61,70,87.1,0,0,0,27,2020,Germany
Frederik Sørensen,dk DEN,DF,Köln,1992,1.1,38,50,76,896,428,4,7,57.1,26,28,92.9,7,13,53.8,0,1,0,4,2020,Germany
Alexander Sørloth,no NOR,FW,RB Leipzig,1995,2.9,55,77,71.4,740,124,33,42,78.6,15,22,68.2,2,5,40,1,1,0,3,2020,Germany
Jonathan Tah,de GER,DF,Leverkusen,1996,0.7,32,36,88.9,758,175,7,8,87.5,20,21,95.2,5,7,71.4,0,0,0,1,2020,Germany
Edmond Tapsoba,bf BFA,DF,Leverkusen,1999,6,541,593,91.2,12648,3307,103,110,93.6,321,339,94.7,114,136,83.8,0,3,0,29,2020,Germany
Niklas Tauer,de GER,MF,Mainz 05,2001,0.1,1,2,50,22,12,0,0,,1,2,50,0,0,,0,0,0,1,2020,Germany
Lino Tempelmann,de GER,MF,Freiburg,1999,0.3,10,15,66.7,181,36,6,6,100,3,3,100,1,3,33.3,0,0,0,0,2020,Germany
Cedric Teuchert,de GER,MF,Union Berlin,1997,0.5,10,13,76.9,203,50,4,6,66.7,4,4,100,2,3,66.7,0,0,0,1,2020,Germany
Malick Thiaw,fi FIN,DF,Schalke 04,2001,2,69,87,79.3,1419,478,24,29,82.8,31,34,91.2,13,23,56.5,0,0,0,2,2020,Germany
