player,nation,pos,squad,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_vs_dribbles,att_vs_dribbles,tkl_perc_vs_dribbles,past_vs_dribbles,press,succ,percent,def_3rd_pressures,mid_3rd_pressures,att_3rd_pressures,blocks,sh_blocks,shsv_blocks,pass_blocks,int,tkl_and_int,clr,err,year,league
Sergio Álvarez,es ESP,GK,Celta Vigo,1986,26,,1,,,,,,,,,,,,,,,,,,1,0,,,2016,Spanish
Víctor Álvarez,es ESP,DF,Espanyol,1993,2.3,,8,,,,,,,,,,,,,,,,,,6,0,,,2016,Spanish
Yeray Álvarez,es ESP,DF,Athletic Club,1995,25.3,,47,,,,,,,,,,,,,,,,,,99,0,,,2016,Spanish
Diego Alves,br BRA,GK,Valencia,1985,33,,0,,,,,,,,,,,,,,,,,,1,0,,,2016,Spanish
Fernando Amorebieta,ve VEN,DF,Sporting Gijón,1985,24.6,,28,,,,,,,,,,,,,,,,,,70,0,,,2016,Spanish
Jon Ander Serantes,es ESP,GK,Leganés,1989,12.3,,0,,,,,,,,,,,,,,,,,,1,0,,,2016,Spanish
Florin Andone,ro ROU,FW,La Coruña,1993,32.3,,18,,,,,,,,,,,,,,,,,,4,0,,,2016,Spanish
Victorien Angban,ci CIV,MF,Granada,1996,7.5,,19,,,,,,,,,,,,,,,,,,17,0,,,2016,Spanish
Miguel Ángel Guerrero,es ESP,FW,Leganés,1990,24,,10,,,,,,,,,,,,,,,,,,8,0,,,2016,Spanish
Miguel Ángel Moyá,es ESP,GK,Atlético Madrid,1984,8.6,,0,,,,,,,,,,,,,,,,,,0,0,,,2016,Spanish
José Ángel,es ESP,DF,Villarreal,1989,7,,19,,,,,,,,,,,,,,,,,,16,0,,,2016,Spanish
José Antonio Reyes,es ESP,"MF,FW",Espanyol,1983,9.6,,10,,,,,,,,,,,,,,,,,,6,0,,,2016,Spanish
Sergio Araujo,ar ARG,FW,Las Palmas,1992,6,,5,,,,,,,,,,,,,,,,,,5,0,,,2016,Spanish
Anaitz Arbilla,es ESP,DF,Eibar,1987,17.5,,34,,,,,,,,,,,,,,,,,,51,0,,,2016,Spanish
Markel Areitio,es ESP,GK,Eibar,1996,0.5,,0,,,,,,,,,,,,,,,,,,0,0,,,2016,Spanish
Alejandro Arribas,es ESP,DF,La Coruña,1989,21.3,,33,,,,,,,,,,,,,,,,,,36,0,,,2016,Spanish
Kepa Arrizabalaga,es ESP,GK,Athletic Club,1994,22.4,,0,,,,,,,,,,,,,,,,,,2,0,,,2016,Spanish
Aythami Artiles,es ESP,DF,Las Palmas,1986,9.3,,7,,,,,,,,,,,,,,,,,,20,0,,,2016,Spanish
Sergio Asenjo,es ESP,GK,Villarreal,1989,23.4,,1,,,,,,,,,,,,,,,,,,3,0,,,2016,Spanish
Marco Asensio,es ESP,"FW,MF",Real Madrid,1996,12,,22,,,,,,,,,,,,,,,,,,11,0,,,2016,Spanish
Iago Aspas,es ESP,"FW,MF",Celta Vigo,1987,25.7,,16,,,,,,,,,,,,,,,,,,12,0,,,2016,Spanish
Omer Atzili,il ISR,MF,Granada,1993,4.1,,4,,,,,,,,,,,,,,,,,,3,0,,,2016,Spanish
Ryan Babel,nl NED,"MF,FW",La Coruña,1986,6.3,,6,,,,,,,,,,,,,,,,,,7,0,,,2016,Spanish
Jean-Sylvain Babin,mq MTQ,DF,Sporting Gijón,1986,19,,14,,,,,,,,,,,,,,,,,,24,0,,,2016,Spanish
Cédric Bakambu,cd COD,FW,Villarreal,1991,17.4,,9,,,,,,,,,,,,,,,,,,3,0,,,2016,Spanish
Zakaria Bakkali,be BEL,FW,Valencia,1996,3.4,,3,,,,,,,,,,,,,,,,,,2,0,,,2016,Spanish
Gareth Bale,wal WAL,FW,Real Madrid,1989,15.8,,13,,,,,,,,,,,,,,,,,,17,0,,,2016,Spanish
Mikel Balenziaga,es ESP,DF,Athletic Club,1988,31.6,,59,,,,,,,,,,,,,,,,,,37,0,,,2016,Spanish
Léo Baptistão,br BRA,"FW,MF",Espanyol,1992,15.9,,16,,,,,,,,,,,,,,,,,,12,0,,,2016,Spanish
David Barral,es ESP,FW,Granada,1983,3.5,,6,,,,,,,,,,,,,,,,,,8,0,,,2016,Spanish
Diego Barrios,es ESP,GK,Leganés,1994,0.7,,0,,,,,,,,,,,,,,,,,,0,0,,,2016,Spanish
Jon Bautista,es ESP,FW,Real Sociedad,1995,3.6,,8,,,,,,,,,,,,,,,,,,0,0,,,2016,Spanish
Claudio Beauvue,GPE,FW,Celta Vigo,1988,7.4,,3,,,,,,,,,,,,,,,,,,3,0,,,2016,Spanish
Bebé,pt POR,"MF,FW",Eibar,1990,7.7,,9,,,,,,,,,,,,,,,,,,11,0,,,2016,Spanish
Wissam Ben Yedder,fr FRA,FW,Sevilla,1990,18.4,,11,,,,,,,,,,,,,,,,,,7,0,,,2016,Spanish
Karim Benzema,fr FRA,FW,Real Madrid,1987,21.1,,14,,,,,,,,,,,,,,,,,,3,0,,,2016,Spanish
Yuri Berchiche,es ESP,DF,Real Sociedad,1990,34.3,,50,,,,,,,,,,,,,,,,,,62,0,,,2016,Spanish
Álex Berenguer,es ESP,"DF,MF",Osasuna,1995,24.2,,52,,,,,,,,,,,,,,,,,,53,0,,,2016,Spanish
Álex Bergantiños,es ESP,"MF,DF",La Coruña,1985,6.2,,13,,,,,,,,,,,,,,,,,,9,0,,,2016,Spanish
Markel Bergara,es ESP,MF,Real Sociedad,1986,3.2,,5,,,,,,,,,,,,,,,,,,5,0,,,2016,Spanish
Pedro Bigas,es ESP,DF,Las Palmas,1990,29.4,,19,,,,,,,,,,,,,,,,,,87,0,,,2016,Spanish
Rubén Blanco,es ESP,GK,Celta Vigo,1995,11,,0,,,,,,,,,,,,,,,,,,1,0,,,2016,Spanish
Kevin-Prince Boateng,gh GHA,"FW,MF",Las Palmas,1987,22,,16,,,,,,,,,,,,,,,,,,19,0,,,2016,Spanish
Jeremie Boga,ci CIV,"MF,FW",Granada,1997,16.3,,6,,,,,,,,,,,,,,,,,,3,0,,,2016,Spanish
Daniele Bonera,it ITA,DF,Villarreal,1981,6,,4,,,,,,,,,,,,,,,,,,8,0,,,2016,Spanish
Theo Bongonda,be BEL,"MF,FW",Celta Vigo,1995,24,,21,,,,,,,,,,,,,,,,,,15,0,,,2016,Spanish
Tano Bonnín,do DOM,DF,Osasuna,1990,8.2,,9,,,,,,,,,,,,,,,,,,24,0,,,2016,Spanish
Celso Borges,cr CRC,MF,La Coruña,1988,30.1,,44,,,,,,,,,,,,,,,,,,64,0,,,2016,Spanish
Rafael Borré,co COL,FW,Villarreal,1995,4.1,,6,,,,,,,,,,,,,,,,,,1,0,,,2016,Spanish
Eneko Bóveda,es ESP,DF,Athletic Club,1988,17.3,,36,,,,,,,,,,,,,,,,,,46,0,,,2016,Spanish
Denys Boyko,ua UKR,GK,Málaga,1988,3,,0,,,,,,,,,,,,,,,,,,0,0,,,2016,Spanish
Darko Brašanac,rs SRB,MF,Betis,1992,18.6,,34,,,,,,,,,,,,,,,,,,14,0,,,2016,Spanish
Claudio Bravo,cl CHI,GK,Barcelona,1983,1,,0,,,,,,,,,,,,,,,,,,0,0,,,2016,Spanish
Alberto Brignoli,it ITA,GK,Leganés,1991,0.7,,0,,,,,,,,,,,,,,,,,,0,0,,,2016,Spanish
Alberto Bueno,es ESP,"FW,MF",Leganés,1988,4.3,,2,,,,,,,,,,,,,,,,,,3,0,,,2016,Spanish
Alberto Bueno,es ESP,MF,Granada,1988,6.3,,5,,,,,,,,,,,,,,,,,,2,0,,,2016,Spanish
Aitor Buñuel,es ESP,"DF,MF",Osasuna,1998,11.5,,29,,,,,,,,,,,,,,,,,,24,0,,,2016,Spanish
Burgui,es ESP,"MF,FW",Sporting Gijón,1993,22,,26,,,,,,,,,,,,,,,,,,13,0,,,2016,Spanish
Sergio Busquets,es ESP,MF,Barcelona,1988,29.8,,56,,,,,,,,,,,,,,,,,,50,0,,,2016,Spanish
Unai Bustinza,es ESP,DF,Leganés,1992,19.9,,40,,,,,,,,,,,,,,,,,,62,0,,,2016,Spanish
Gustavo Cabral,ar ARG,DF,Celta Vigo,1985,24.2,,43,,,,,,,,,,,,,,,,,,57,0,,,2016,Spanish
Felipe Caicedo,ec ECU,FW,Espanyol,1988,14.2,,18,,,,,,,,,,,,,,,,,,2,0,,,2016,Spanish
Ignacio Camacho,es ESP,MF,Málaga,1990,34.9,,87,,,,,,,,,,,,,,,,,,114,0,,,2016,Spanish
Víctor Camarasa,es ESP,MF,Alavés,1994,27.6,,23,,,,,,,,,,,,,,,,,,12,0,,,2016,Spanish
Sergio Canales,es ESP,"MF,FW",Real Sociedad,1991,11.2,,23,,,,,,,,,,,,,,,,,,7,0,,,2016,Spanish
João Cancelo,pt POR,"DF,MF",Valencia,1994,27,,65,,,,,,,,,,,,,,,,,,61,0,,,2016,Spanish
Roberto Canella,es ESP,DF,Sporting Gijón,1988,19.5,,27,,,,,,,,,,,,,,,,,,24,0,,,2016,Spanish
Aitor Cantalapiedra,es ESP,"FW,MF",Villarreal,1996,0.1,,0,,,,,,,,,,,,,,,,,,0,0,,,2016,Spanish
Ander Capa,es ESP,DF,Eibar,1992,28.4,,56,,,,,,,,,,,,,,,,,,65,0,,,2016,Spanish
Mehdi Carcela,ma MAR,"MF,FW",Granada,1989,19.4,,21,,,,,,,,,,,,,,,,,,22,0,,,2016,Spanish
José Carlos,es ESP,DF,Betis,1996,5.5,,11,,,,,,,,,,,,,,,,,,14,0,,,2016,Spanish
Carlos Carmona,es ESP,"MF,FW",Sporting Gijón,1987,20.6,,42,,,,,,,,,,,,,,,,,,23,0,,,2016,Spanish
Yannick Carrasco,be BEL,"MF,FW",Atlético Madrid,1993,25.6,,19,,,,,,,,,,,,,,,,,,18,0,,,2016,Spanish
Daniel Carriço,pt POR,DF,Sevilla,1988,5,,3,,,,,,,,,,,,,,,,,,11,0,,,2016,Spanish
Federico Cartabia,ar ARG,"MF,FW",Valencia,1993,1.7,,10,,,,,,,,,,,,,,,,,,2,0,,,2016,Spanish
Dani Carvajal,es ESP,DF,Real Madrid,1992,22.4,,41,,,,,,,,,,,,,,,,,,45,0,,,2016,Spanish
Casemiro,br BRA,MF,Real Madrid,1992,18.9,,71,,,,,,,,,,,,,,,,,,43,0,,,2016,Spanish
Nacho Cases,es ESP,MF,Sporting Gijón,1987,16.3,,20,,,,,,,,,,,,,,,,,,22,0,,,2016,Spanish
Kiko Casilla,es ESP,GK,Real Madrid,1986,11,,1,,,,,,,,,,,,,,,,,,0,0,,,2016,Spanish
Dani Castellano,es ESP,DF,Las Palmas,1987,23.4,,43,,,,,,,,,,,,,,,,,,42,0,,,2016,Spanish
Javi Castellano,es ESP,"DF,MF",Las Palmas,1987,1.1,,3,,,,,,,,,,,,,,,,,,2,0,,,2016,Spanish
Samu Castillejo,es ESP,MF,Villarreal,1995,22.7,,27,,,,,,,,,,,,,,,,,,47,0,,,2016,Spanish
Carlos Castro,es ESP,FW,Sporting Gijón,1995,11.4,,6,,,,,,,,,,,,,,,,,,1,0,,,2016,Spanish
Chory Castro,uy URU,"MF,FW",Málaga,1984,19.9,,17,,,,,,,,,,,,,,,,,,18,0,,,2016,Spanish
Jonny Castro,es ESP,DF,Celta Vigo,1994,24.7,,53,,,,,,,,,,,,,,,,,,65,0,,,2016,Spanish
Rubén Castro,es ESP,FW,Betis,1981,30.9,,4,,,,,,,,,,,,,,,,,,11,0,,,2016,Spanish
Goran Čaušić,rs SRB,MF,Osasuna,1992,22.3,,25,,,,,,,,,,,,,,,,,,29,0,,,2016,Spanish
Dani Ceballos,es ESP,MF,Betis,1996,26,,66,,,,,,,,,,,,,,,,,,53,0,,,2016,Spanish
Álvaro Cejudo,es ESP,"MF,FW",Betis,1984,9.1,,23,,,,,,,,,,,,,,,,,,20,0,,,2016,Spanish
Alessio Cerci,it ITA,"FW,MF",Atlético Madrid,1987,0.2,,0,,,,,,,,,,,,,,,,,,0,0,,,2016,Spanish
Nereo Champagne,ar ARG,GK,Leganés,1985,4,,0,,,,,,,,,,,,,,,,,,0,0,,,2016,Spanish
Charles,br BRA,FW,Málaga,1984,12.7,,4,,,,,,,,,,,,,,,,,,3,0,,,2016,Spanish
Pape Cheikh Diop,sn SEN,"MF,FW",Celta Vigo,1997,6.4,,13,,,,,,,,,,,,,,,,,,4,0,,,2016,Spanish
Denis Cheryshev,ru RUS,MF,Villarreal,1990,3.8,,4,,,,,,,,,,,,,,,,,,5,0,,,2016,Spanish
Michaël Ciani,fr FRA,DF,Espanyol,1984,0.6,,0,,,,,,,,,,,,,,,,,,0,0,,,2016,Spanish
Jasper Cillessen,nl NED,GK,Barcelona,1989,1,,0,,,,,,,,,,,,,,,,,,0,0,,,2016,Spanish
Carlos Clerc,es ESP,"DF,MF",Osasuna,1992,21.6,,32,,,,,,,,,,,,,,,,,,40,0,,,2016,Spanish
Fábio Coentrão,pt POR,DF,Real Madrid,1988,1.9,,0,,,,,,,,,,,,,,,,,,1,0,,,2016,Spanish
Emre Çolak,tr TUR,MF,La Coruña,1991,27.4,,36,,,,,,,,,,,,,,,,,,13,0,,,2016,Spanish
David Concha,es ESP,MF,Real Sociedad,1996,1.4,,0,,,,,,,,,,,,,,,,,,2,0,,,2016,Spanish
Duje Čop,hr CRO,FW,Sporting Gijón,1990,25.2,,7,,,,,,,,,,,,,,,,,,9,0,,,2016,Spanish
Ángel Correa,ar ARG,"MF,FW",Atlético Madrid,1995,13.8,,25,,,,,,,,,,,,,,,,,,13,0,,,2016,Spanish
Joaquín Correa,ar ARG,"MF,FW",Sevilla,1994,14.6,,20,,,,,,,,,,,,,,,,,,12,0,,,2016,Spanish
Jaume Costa,es ESP,DF,Villarreal,1988,29.8,,55,,,,,,,,,,,,,,,,,,49,0,,,2016,Spanish
David Costas,es ESP,DF,Celta Vigo,1995,1,,1,,,,,,,,,,,,,,,,,,1,0,,,2016,Spanish
Iván Cuéllar,es ESP,GK,Sporting Gijón,1984,36,,1,,,,,,,,,,,,,,,,,,7,0,,,2016,Spanish
Isaac Cuenca,es ESP,"MF,DF",Granada,1991,19.4,,27,,,,,,,,,,,,,,,,,,28,0,,,2016,Spanish
Danilo,br BRA,DF,Real Madrid,1991,16.5,,34,,,,,,,,,,,,,,,,,,37,0,,,2016,Spanish
Martín Demichelis,ar ARG,DF,Espanyol,1980,1.1,,1,,,,,,,,,,,,,,,,,,6,0,,,2016,Spanish
Martín Demichelis,ar ARG,DF,Málaga,1980,7.6,,8,,,,,,,,,,,,,,,,,,13,0,,,2016,Spanish
Deyverson,br BRA,FW,Alavés,1991,28.6,,30,,,,,,,,,,,,,,,,,,23,0,,,2016,Spanish
Marcelo Díaz,cl CHI,MF,Celta Vigo,1986,18.3,,19,,,,,,,,,,,,,,,,,,33,0,,,2016,Spanish
Víctor Díaz,es ESP,DF,Leganés,1988,20.1,,43,,,,,,,,,,,,,,,,,,52,0,,,2016,Spanish
Didier Digard,fr FRA,MF,Osasuna,1986,2.1,,6,,,,,,,,,,,,,,,,,,4,0,,,2016,Spanish
Lucas Digne,fr FRA,DF,Barcelona,1993,13,,19,,,,,,,,,,,,,,,,,,23,0,,,2016,Spanish
Papakouli Diop,sn SEN,MF,Espanyol,1986,10.1,,15,,,,,,,,,,,,,,,,,,21,0,,,2016,Spanish
Jaume Doménech,es ESP,GK,Valencia,1990,3,,1,,,,,,,,,,,,,,,,,,0,0,,,2016,Spanish
Ryan Donk,nl NED,"MF,DF",Betis,1986,9.6,,16,,,,,,,,,,,,,,,,,,24,0,,,2016,Spanish
Jonathan dos Santos,mx MEX,MF,Villarreal,1990,24.7,,37,,,,,,,,,,,,,,,,,,38,0,,,2016,Spanish
Mauro dos Santos,ar ARG,DF,Eibar,1989,8.5,,9,,,,,,,,,,,,,,,,,,18,0,,,2016,Spanish
Douglas,br BRA,"DF,MF",Sporting Gijón,1990,19.1,,35,,,,,,,,,,,,,,,,,,31,0,,,2016,Spanish
Óscar Duarte,cr CRC,DF,Espanyol,1989,12.5,,10,,,,,,,,,,,,,,,,,,23,0,,,2016,Spanish
Rubén Duarte,es ESP,DF,Espanyol,1995,1.1,,2,,,,,,,,,,,,,,,,,,8,0,,,2016,Spanish
Duda,pt POR,MF,Málaga,1980,4.2,,6,,,,,,,,,,,,,,,,,,6,0,,,2016,Spanish
Riza Durmisi,dk DEN,DF,Betis,1994,26.5,,33,,,,,,,,,,,,,,,,,,31,0,,,2016,Spanish
Elderson Echiéjilé,ng NGA,DF,Sporting Gijón,1988,2.2,,1,,,,,,,,,,,,,,,,,,5,0,,,2016,Spanish
Aritz Elustondo,es ESP,DF,Real Sociedad,1994,5.2,,7,,,,,,,,,,,,,,,,,,12,0,,,2016,Spanish
Gorka Elustondo,es ESP,DF,Athletic Club,1987,1.2,,4,,,,,,,,,,,,,,,,,,4,0,,,2016,Spanish
Rodrigo Ely,br BRA,DF,Alavés,1993,8.8,,7,,,,,,,,,,,,,,,,,,9,0,,,2016,Spanish
Youssef En-Nesyri,ma MAR,FW,Málaga,1997,3.8,,4,,,,,,,,,,,,,,,,,,2,0,,,2016,Spanish
Sergi Enrich,es ESP,FW,Eibar,1990,31.4,,24,,,,,,,,,,,,,,,,,,10,0,,,2016,Spanish
Juanan Entrena,es ESP,MF,Granada,1996,1.2,,,,,,,,,,,,,,,,,,,,,0,,,2016,Spanish
Javier Eraso,es ESP,MF,Athletic Club,1990,4.2,,5,,,,,,,,,,,,,,,,,,6,0,,,2016,Spanish
Gonzalo Escalante,ar ARG,MF,Eibar,1993,22.4,,43,,,,,,,,,,,,,,,,,,42,0,,,2016,Spanish
Sergio Escudero,es ESP,"DF,MF",Sevilla,1989,25.4,,49,,,,,,,,,,,,,,,,,,52,0,,,2016,Spanish
Cristian Espinoza,ar ARG,MF,Alavés,1995,1.8,,2,,,,,,,,,,,,,,,,,,2,0,,,2016,Spanish
Pervis Estupiñán,ec ECU,DF,Granada,1998,2,,7,,,,,,,,,,,,,,,,,,6,0,,,2016,Spanish
Beñat Etxebarria,es ESP,MF,Athletic Club,1987,26.6,,39,,,,,,,,,,,,,,,,,,37,0,,,2016,Spanish
Xabier Etxeita,es ESP,DF,Athletic Club,1987,7.9,,13,,,,,,,,,,,,,,,,,,15,0,,,2016,Spanish
Edu Expósito,es ESP,MF,La Coruña,1996,0.5,,1,,,,,,,,,,,,,,,,,,0,0,,,2016,Spanish
Erik Expósito,es ESP,FW,Las Palmas,1996,1.8,,0,,,,,,,,,,,,,,,,,,0,0,,,2016,Spanish
Fayçal Fajr,ma MAR,MF,La Coruña,1988,13.5,,22,,,,,,,,,,,,,,,,,,7,0,,,2016,Spanish
Zouhair Feddal,ma MAR,DF,Alavés,1989,24.9,,19,,,,,,,,,,,,,,,,,,64,0,,,2016,Spanish
Kiko Femenía,es ESP,DF,Alavés,1991,27.8,,41,,,,,,,,,,,,,,,,,,45,0,,,2016,Spanish
Álvaro Fernández,es ESP,GK,Osasuna,1998,0.5,,0,,,,,,,,,,,,,,,,,,0,0,,,2016,Spanish
Andrés Fernández,es ESP,GK,Villarreal,1986,14.6,,0,,,,,,,,,,,,,,,,,,1,0,,,2016,Spanish
Augusto Fernández,ar ARG,MF,Atlético Madrid,1986,1.5,,3,,,,,,,,,,,,,,,,,,9,0,,,2016,Spanish
Carlos Fernández,es ESP,FW,Sevilla,1996,1,,1,,,,,,,,,,,,,,,,,,0,0,,,2016,Spanish
Mario Fernández,es ESP,GK,Osasuna,1988,6.5,,1,,,,,,,,,,,,,,,,,,0,0,,,2016,Spanish
Pablo Fernández,es ESP,MF,Sporting Gijón,1996,0.2,,0,,,,,,,,,,,,,,,,,,0,0,,,2016,Spanish
Javier Flaño,es ESP,DF,Osasuna,1984,1.5,,1,,,,,,,,,,,,,,,,,,5,0,,,2016,Spanish
Miguel Flaño,es ESP,DF,Osasuna,1984,11.5,,8,,,,,,,,,,,,,,,,,,29,0,,,2016,Spanish
Andreu Fontàs,es ESP,DF,Celta Vigo,1989,16.2,,29,,,,,,,,,,,,,,,,,,34,0,,,2016,Spanish
Pablo Fornals,es ESP,MF,Málaga,1996,29.6,,43,,,,,,,,,,,,,,,,,,36,0,,,2016,Spanish
Dimitri Foulquier,fr FRA,DF,Granada,1993,20.8,,33,,,,,,,,,,,,,,,,,,30,0,,,2016,Spanish
Javi Fuego,es ESP,MF,Espanyol,1984,28.5,,45,,,,,,,,,,,,,,,,,,66,0,,,2016,Spanish
Gabi,es ESP,MF,Atlético Madrid,1983,32.1,,85,,,,,,,,,,,,,,,,,,78,0,,,2016,Spanish
Gabriel,br BRA,"MF,FW",Leganés,1993,30.3,,45,,,,,,,,,,,,,,,,,,22,0,,,2016,Spanish
Nicolás Gaitán,ar ARG,MF,Atlético Madrid,1988,11.5,,15,,,,,,,,,,,,,,,,,,15,0,,,2016,Spanish
Álex Gálvez,es ESP,DF,Eibar,1989,14.8,,22,,,,,,,,,,,,,,,,,,43,0,,,2016,Spanish
Bruno Gama,pt POR,MF,La Coruña,1987,16,,27,,,,,,,,,,,,,,,,,,15,0,,,2016,Spanish
Kévin Gameiro,fr FRA,FW,Atlético Madrid,1987,18.6,,12,,,,,,,,,,,,,,,,,,7,0,,,2016,Spanish
Ganso,br BRA,MF,Sevilla,1989,5.4,,11,,,,,,,,,,,,,,,,,,4,0,,,2016,Spanish
Ezequiel Garay,ar ARG,DF,Valencia,1986,26,,27,,,,,,,,,,,,,,,,,,60,0,,,2016,Spanish
Dani García,es ESP,MF,Eibar,1990,35.4,,81,,,,,,,,,,,,,,,,,,74,0,,,2016,Spanish
David García,es ESP,DF,Osasuna,1994,24.4,,33,,,,,,,,,,,,,,,,,,54,0,,,2016,Spanish
David García,es ESP,DF,Las Palmas,1982,18.3,,22,,,,,,,,,,,,,,,,,,40,0,,,2016,Spanish
Imanol García,es ESP,"MF,DF",Osasuna,1995,5.8,,16,,,,,,,,,,,,,,,,,,20,0,,,2016,Spanish
Manu García,es ESP,MF,Alavés,1986,22.3,,52,,,,,,,,,,,,,,,,,,33,0,,,2016,Spanish
Mateo García,ar ARG,"FW,MF",Las Palmas,1996,8.1,,10,,,,,,,,,,,,,,,,,,11,0,,,2016,Spanish
Raúl García,es ESP,MF,Athletic Club,1986,31.7,,50,,,,,,,,,,,,,,,,,,32,0,,,2016,Spanish
Raúl García,es ESP,DF,Alavés,1989,14.1,,21,,,,,,,,,,,,,,,,,,21,0,,,2016,Spanish
Samu García,es ESP,MF,Leganés,1990,5.9,,15,,,,,,,,,,,,,,,,,,11,0,,,2016,Spanish
Unai García,es ESP,DF,Osasuna,1992,20.8,,34,,,,,,,,,,,,,,,,,,63,0,,,2016,Spanish
Mario Gaspar,es ESP,DF,Villarreal,1990,36,,65,,,,,,,,,,,,,,,,,,75,0,,,2016,Spanish
Jon Gaztañaga,es ESP,"DF,MF",Real Sociedad,1991,0.3,,0,,,,,,,,,,,,,,,,,,0,0,,,2016,Spanish
Carles Gil,es ESP,MF,La Coruña,1992,15.6,,11,,,,,,,,,,,,,,,,,,12,0,,,2016,Spanish
Nacho Gil,es ESP,MF,Valencia,1995,0.1,,0,,,,,,,,,,,,,,,,,,0,0,,,2016,Spanish
Dani Giménez,es ESP,GK,Betis,1983,1,,0,,,,,,,,,,,,,,,,,,0,0,,,2016,Spanish
Diego Godín,uy URU,DF,Atlético Madrid,1986,30.1,,33,,,,,,,,,,,,,,,,,,80,0,,,2016,Spanish
André Gomes,pt POR,MF,Barcelona,1993,17.5,,27,,,,,,,,,,,,,,,,,,11,0,,,2016,Spanish
Ibai Gómez,es ESP,MF,Alavés,1989,20.1,,20,,,,,,,,,,,,,,,,,,10,0,,,2016,Spanish
Moi Gómez,es ESP,MF,Sporting Gijón,1994,20.5,,23,,,,,,,,,,,,,,,,,,12,0,,,2016,Spanish
Sergi Gómez,es ESP,DF,Celta Vigo,1992,21.2,,42,,,,,,,,,,,,,,,,,,61,0,,,2016,Spanish
Vicente Gómez,es ESP,MF,Las Palmas,1988,25.6,,31,,,,,,,,,,,,,,,,,,42,0,,,2016,Spanish
Adrián González,es ESP,MF,Eibar,1988,16.9,,17,,,,,,,,,,,,,,,,,,11,0,,,2016,Spanish
Álvaro González,es ESP,DF,Villarreal,1990,21,,24,,,,,,,,,,,,,,,,,,27,0,,,2016,Spanish
Álvaro González,es ESP,DF,Espanyol,1990,2,,0,,,,,,,,,,,,,,,,,,2,0,,,2016,Spanish
Bruno González,es ESP,DF,Betis,1990,14.8,,18,,,,,,,,,,,,,,,,,,42,0,,,2016,Spanish
Diego González,es ESP,DF,Sevilla,1995,0.4,,2,,,,,,,,,,,,,,,,,,2,0,,,2016,Spanish
Mario González,es ESP,FW,Villarreal,1996,0.3,,0,,,,,,,,,,,,,,,,,,0,0,,,2016,Spanish
Mikel González,es ESP,DF,Real Sociedad,1985,7.4,,7,,,,,,,,,,,,,,,,,,18,0,,,2016,Spanish
Esteban Granero,es ESP,MF,Real Sociedad,1987,7.9,,13,,,,,,,,,,,,,,,,,,19,0,,,2016,Spanish
Antoine Griezmann,fr FRA,FW,Atlético Madrid,1991,33.8,,33,,,,,,,,,,,,,,,,,,19,0,,,2016,Spanish
John Guidetti,se SWE,FW,Celta Vigo,1992,11.8,,6,,,,,,,,,,,,,,,,,,4,0,,,2016,Spanish
Guilherme,br BRA,MF,La Coruña,1991,25.4,,55,,,,,,,,,,,,,,,,,,48,0,,,2016,Spanish
Jon Guridi,es ESP,MF,Real Sociedad,1995,0.8,,1,,,,,,,,,,,,,,,,,,2,0,,,2016,Spanish
Felipe Gutiérrez,cl CHI,MF,Betis,1990,8.8,,31,,,,,,,,,,,,,,,,,,17,0,,,2016,Spanish
Munir El Haddadi,es ESP,"FW,MF",Valencia,1995,22.5,,29,,,,,,,,,,,,,,,,,,31,0,,,2016,Spanish
Munir El Haddadi,es ESP,FW,Barcelona,1995,0.2,,0,,,,,,,,,,,,,,,,,,1,0,,,2016,Spanish
Alen Halilović,hr CRO,"MF,FW",Las Palmas,1996,7.3,,4,,,,,,,,,,,,,,,,,,6,0,,,2016,Spanish
Uche Henry Agbo,ng NGA,MF,Granada,1995,26.4,,51,,,,,,,,,,,,,,,,,,61,0,,,2016,Spanish
Hernán,es ESP,MF,Las Palmas,1990,3.3,,4,,,,,,,,,,,,,,,,,,2,0,,,2016,Spanish
Héctor Hernández,es ESP,"DF,MF",Granada,1991,10.1,,13,,,,,,,,,,,,,,,,,,13,0,,,2016,Spanish
Héctor Hernández,es ESP,DF,Real Sociedad,1991,2.8,,6,,,,,,,,,,,,,,,,,,4,0,,,2016,Spanish
Lucas Hernández,fr FRA,DF,Atlético Madrid,1996,14,,15,,,,,,,,,,,,,,,,,,22,0,,,2016,Spanish
Luis Hernández,es ESP,DF,Málaga,1989,18.6,,27,,,,,,,,,,,,,,,,,,42,0,,,2016,Spanish
Pablo Hernández,cl CHI,MF,Celta Vigo,1986,21.2,,34,,,,,,,,,,,,,,,,,,53,0,,,2016,Spanish
Theo Hernández,fr FRA,DF,Alavés,1997,30.3,,56,,,,,,,,,,,,,,,,,,43,0,,,2016,Spanish
Iago Herrerín,es ESP,GK,Leganés,1988,20.3,,1,,,,,,,,,,,,,,,,,,1,0,,,2016,Spanish
Andrew Hjulsager,dk DEN,MF,Celta Vigo,1995,2.9,,2,,,,,,,,,,,,,,,,,,1,0,,,2016,Spanish
Martin Hongla,cm CMR,"DF,MF",Granada,1998,8.8,,9,,,,,,,,,,,,,,,,,,10,0,,,2016,Spanish
Robert Ibáñez,es ESP,MF,Leganés,1993,1.9,,2,,,,,,,,,,,,,,,,,,2,0,,,2016,Spanish
Vicente Iborra,es ESP,MF,Sevilla,1988,16.6,,13,,,,,,,,,,,,,,,,,,34,0,,,2016,Spanish
