player,nation,pos,squad,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_vs_dribbles,att_vs_dribbles,tkl_perc_vs_dribbles,past_vs_dribbles,press,succ,percent,def_3rd_pressures,mid_3rd_pressures,att_3rd_pressures,blocks,sh_blocks,shsv_blocks,pass_blocks,int,tkl_and_int,clr,err,year,league
Nadiem Amiri,de GER,MF,Leverkusen,1996,3.6,3,3,1,2,0,2,7,28.6,5,43,19,44.2,9,22,12,1,0,0,1,3,6,1,0,2020,German
Sebastian Andersson,se SWE,FW,Köln,1991,6.4,2,0,0,1,1,0,4,0,4,101,23,22.8,2,54,45,4,0,0,4,1,3,5,0,2020,German
Robert Andrich,de GER,MF,Union Berlin,1994,5.9,18,11,11,7,0,6,13,46.2,7,108,30,27.8,34,64,10,9,2,0,7,4,22,4,0,2020,German
Angeliño,es ESP,"DF,FW",RB Leipzig,1997,5.9,9,4,2,7,0,1,4,25,3,52,18,34.6,7,31,14,5,0,0,5,7,16,6,1,2020,German
Waldemar Anton,de GER,DF,Stuttgart,1996,3,2,1,1,1,0,1,5,20,4,28,7,25,19,7,2,4,2,1,2,1,3,6,0,2020,German
Charles Aránguiz,cl CHI,MF,Leverkusen,1989,3.5,11,6,5,5,1,2,4,50,2,59,19,32.2,20,36,3,4,1,0,3,3,14,5,0,2020,German
Santiago Arias,co COL,DF,Leverkusen,1992,1,4,4,2,1,1,0,0,,0,13,5,38.5,6,6,1,3,0,0,3,0,4,3,0,2020,German
Maximilian Arnold,de GER,MF,Wolfsburg,1994,4.6,11,7,4,6,1,5,10,50,5,92,29,31.5,22,52,18,9,0,0,9,4,15,10,0,2020,German
Toluwalas Arokodare,ng NGA,FW,Köln,2000,0.5,0,0,0,0,0,0,0,,0,5,4,80,1,1,3,0,0,0,0,0,0,0,0,2020,German
Ludwig Augustinsson,se SWE,DF,Werder Bremen,1994,4,14,6,7,3,4,4,6,66.7,2,55,16,29.1,19,20,16,9,3,0,6,2,16,16,0,2020,German
