player,nation,pos,squad,born,90s,gls,sh,sot,sot_perc,sh_per_90,sot_per_90,g_per_Sh,g_per_sot,dist,fk,pk,pk_att,year,league
Ibrahima Diallo,fr FRA,MF,Southampton,1999,0.2,0,0,0,,0,0,,,,0,0,0,2020,English
Grady Diangana,eng ENG,"MF,FW",West Brom,1998,6.3,1,9,4,44.4,1.43,0.64,0.11,0.25,16.4,0,0,0,2020,English
Raphael Dias Belloli,br BRA,MF,Leeds United,1996,0.2,0,1,0,0,5.29,0,0,,18,0,0,0,2020,English
Rúben Dias,pt POR,DF,Manchester City,1997,4,0,1,0,0,0.25,0,0,,5,0,0,0,2020,English
Eric Dier,eng ENG,DF,Tottenham,1994,6,0,1,0,0,0.17,0,0,,6,0,0,0,2020,English
Lucas Digne,fr FRA,DF,Everton,1993,5.8,0,2,0,0,0.35,0,0,,28.3,1,0,0,2020,English
Virgil van Dijk,nl NED,DF,Liverpool,1991,4.1,1,4,2,50,0.97,0.49,0.25,0.5,13.5,0,0,0,2020,English
Issa Diop,fr FRA,DF,West Ham,1997,2,0,0,0,,0,0,,,,0,0,0,2020,English
Moussa Djenepo,ml MLI,MF,Southampton,1998,3.4,1,5,1,20,1.47,0.29,0.2,1,19.8,0,0,0,2020,English
Matt Doherty,ie IRL,DF,Tottenham,1992,4.8,0,1,1,100,0.21,0.21,0,0,5.8,0,0,0,2020,English
Gabriel Dos Santos,br BRA,DF,Arsenal,1997,6,1,5,1,20,0.83,0.17,0.2,1,10.2,0,0,0,2020,English
Abdoulaye Doucouré,fr FRA,MF,Everton,1993,6.2,0,5,2,40,0.81,0.32,0,0,18.7,0,0,0,2020,English
Lewis Dunk,eng ENG,DF,Brighton,1991,5,0,3,0,0,0.6,0,0,,16.7,1,0,0,2020,English
Jimmy Dunne,ie IRL,DF,Burnley,1997,2,1,3,1,33.3,1.5,0.5,0.33,1,8.4,0,0,0,2020,English
Ederson,br BRA,GK,Manchester City,1993,6,0,0,0,,0,0,,,,0,0,0,2020,English
Kyle Edwards,eng ENG,"MF,FW",West Brom,1998,1.3,0,2,1,50,1.55,0.78,0,0,15.2,0,0,0,2020,English
John Egan,ie IRL,"DF,MF",Sheffield Utd,1992,5.1,0,2,0,0,0.39,0,0,,9.3,0,0,0,2020,English
